symbol,date,signal,price
AXISBANK,2024-11-14,BUY,1267.6
AXISBANK,2025-05-23,SELL,1210.0999755859375
RECLTD,2025-06-19,BUY,383.6499938964844
VBL,2025-06-19,BUY,448.6499938964844
TCS,2025-07-14,BUY,3222.699951171875
ABB,2025-07-16,BUY,5551.0
NAUKRI,2025-07-17,BUY,1379.300048828125
HCLTECH,2025-07-21,BUY,1530.4000244140625
TRENT,2025-07-24,BUY,5154.0
BAJAJHFL,2025-07-31,BUY,113.87000274658205
INFY,2025-08-01,BUY,1469.5999755859375
INDUSINDBK,2025-08-08,BUY,782.4500122070312
TATAMOTORS,2025-08-08,BUY,633.7000122070312
ADANIGREEN,2025-08-11,BUY,929.0999755859376
IRFC,2025-08-28,BUY,118.58000183105467
PFC,2025-08-28,BUY,381.75
ADANIGREEN,2025-09-24,SELL,1095.25
